"row_id","bucket","snapnum","M","_count_*_"
2695,117,0,117,2
2847,118,0,118,1
2832,119,0,119,1
1,10117,1,117,186
2,10118,1,118,83
3,10119,1,119,16
2696,10120,1,120,6
2697,10121,1,121,5
4,20117,2,117,3143
5,20118,2,118,1518
6,20119,2,119,575
7,20120,2,120,223
8,20121,2,121,87
9,20122,2,122,20
10,20123,2,123,7
2750,20124,2,124,4
11,30117,3,117,53399
12,30118,3,118,31815
13,30119,3,119,15980
14,30120,3,120,6963
15,30121,3,121,3164
16,30122,3,122,1240
17,30123,3,123,518
18,30124,3,124,151
19,30125,3,125,57
20,30126,3,126,21
2751,30127,3,127,6
2698,30128,3,128,1
21,40117,4,117,331102
22,40118,4,118,225700
23,40119,4,119,129352
24,40120,4,120,67726
25,40121,4,121,36198
26,40122,4,122,17614
27,40123,4,123,8846
28,40124,4,124,3915
29,40125,4,125,1630
30,40126,4,126,643
31,40127,4,127,220
32,40128,4,128,88
33,40129,4,129,33
2789,40130,4,130,5
2699,40131,4,131,3
34,50117,5,117,2118904
35,50118,5,118,1666923
36,50119,5,119,1128847
37,50120,5,120,708517
38,50121,5,121,454251
39,50122,5,122,270730
40,50123,5,123,166956
41,50124,5,124,96261
42,50125,5,125,51882
43,50126,5,126,27142
44,50127,5,127,13160
45,50128,5,128,6415
46,50129,5,129,2867
47,50130,5,130,1153
48,50131,5,131,465
49,50132,5,132,167
50,50133,5,133,49
2700,50134,5,134,6
2833,50135,5,135,1
51,60117,6,117,4572452
52,60118,6,118,3812049
53,60119,6,119,2756070
54,60120,6,120,1862941
55,60121,6,121,1294564
56,60122,6,122,841170
57,60123,6,123,568520
58,60124,6,124,363285
59,60125,6,125,220219
60,60126,6,126,130687
61,60127,6,127,73904
62,60128,6,128,41309
63,60129,6,129,22146
64,60130,6,130,10721
65,60131,6,131,5241
66,60132,6,132,2272
67,60133,6,133,979
68,60134,6,134,387
69,60135,6,135,113
70,60136,6,136,33
2774,60137,6,137,7
2807,60139,6,139,1
71,70117,7,117,7252564
72,70118,7,118,6250527
73,70119,7,119,4713332
74,70120,7,120,3332630
75,70121,7,121,2422953
76,70122,7,122,1664336
77,70123,7,123,1191646
78,70124,7,124,809352
79,70125,7,125,526986
80,70126,7,126,338530
81,70127,7,127,211988
82,70128,7,128,128557
83,70129,7,129,75997
84,70130,7,130,43029
85,70131,7,131,23017
86,70132,7,132,11984
87,70133,7,133,5864
88,70134,7,134,2635
89,70135,7,135,1128
90,70136,7,136,438
91,70137,7,137,143
2701,70138,7,138,38
92,70139,7,139,8
2775,70140,7,140,2
2818,70141,7,141,1
93,80117,8,117,9762345
94,80118,8,118,8607097
95,80119,8,119,6678395
96,80120,8,120,4870614
97,80121,8,121,3660872
98,80122,8,122,2600245
99,80123,8,123,1938381
100,80124,8,124,1379828
101,80125,8,125,942722
102,80126,8,126,638096
103,80127,8,127,422672
104,80128,8,128,275014
105,80129,8,129,176080
106,80130,8,130,106938
107,80131,8,131,63352
108,80132,8,132,36310
109,80133,8,133,19718
