#"snapnum" "zred"
79 0
78 0.0302
77 0.046
76 0.0809
75 0.102
74 0.1058
73 0.1131
72 0.1169
71 0.1245
70 0.1283
69 0.136
68 0.1399
67 0.1477
66 0.1515
65 0.1597
64 0.1636
63 0.1719
62 0.1759
61 0.1844
60 0.1885
59 0.1972
58 0.2013
57 0.2102
56 0.2145
55 0.2235
54 0.2279
53 0.237
52 0.2464
51 0.2652
50 0.2702
49 0.2849
48 0.2947
47 0.3153
46 0.3256
45 0.3472
44 0.3581
43 0.3806
42 0.3922
41 0.4037
40 0.4156
39 0.428
38 0.4401
37 0.4526
36 0.4656
35 0.4786
34 0.4916
33 0.5053
32 0.5191
31 0.5328
30 0.547
29 0.5618
28 0.5763
27 0.5913
26 0.6069
25 0.6226
24 0.6383
23 0.6548
22 0.6714
21 0.688
20 0.7053
19 0.7232
18 0.7413
17 0.7593
16 0.7784
15 0.7976
14 0.8169
13 0.8369
12 0.8868
11 1
10 1.445
9 2.1447
8 2.4843
7 2.8911
6 3.4053
5 4.102
4 5.4103
3 6.4074
2 7.6957
1 8.8039
