"row_id","bucket","snapnum","M","_count_*_"
5309,94,0,94,1
5310,96,0,96,3
1,97,0,97,4
5130,98,0,98,9
5248,99,0,99,6
2,100,0,100,7
5311,101,0,101,8
3,102,0,102,15
4,103,0,103,10
5131,104,0,104,4
5249,105,0,105,3
5,10094,1,94,5
5281,10096,1,96,3
6,10097,1,97,9
7,10098,1,98,16
5132,10099,1,99,16
8,10100,1,100,30
5207,10101,1,101,11
9,10102,1,102,24
10,10103,1,103,18
11,10104,1,104,10
5133,10105,1,105,6
5208,10106,1,106,1
12,20094,2,94,15
13,20096,2,96,17
14,20097,2,97,25
15,20098,2,98,18
16,20099,2,99,24
17,20100,2,100,46
18,20101,2,101,42
19,20102,2,102,37
20,20103,2,103,35
21,20104,2,104,24
5209,20105,2,105,3
22,20106,2,106,5
5134,20107,2,107,1
23,30094,3,94,38
24,30096,3,96,45
25,30097,3,97,40
26,30098,3,98,41
27,30099,3,99,42
28,30100,3,100,69
29,30101,3,101,57
30,30102,3,102,94
31,30103,3,103,65
32,30104,3,104,49
5135,30105,3,105,13
5210,30106,3,106,9
5250,30107,3,107,1
33,40094,4,94,71
5341,40095,4,95,2
34,40096,4,96,81
35,40097,4,97,74
36,40098,4,98,74
37,40099,4,99,91
38,40100,4,100,140
39,40101,4,101,111
40,40102,4,102,148
41,40103,4,103,119
42,40104,4,104,109
43,40105,4,105,30
5136,40106,4,106,14
44,40107,4,107,6
5370,40108,4,108,1
45,50094,5,94,136
46,50096,5,96,160
47,50097,5,97,166
48,50098,5,98,152
49,50099,5,99,135
50,50100,5,100,273
51,50101,5,101,209
52,50102,5,102,276
53,50103,5,103,231
54,50104,5,104,190
55,50105,5,105,60
56,50106,5,106,22
57,50107,5,107,11
5137,50108,5,108,5
58,50109,5,109,1
59,60094,6,94,239
5138,60095,6,95,2
60,60096,6,96,255
61,60097,6,97,256
62,60098,6,98,236
63,60099,6,99,238
64,60100,6,100,442
65,60101,6,101,377
66,60102,6,102,429
67,60103,6,103,384
68,60104,6,104,326
69,60105,6,105,122
70,60106,6,106,49
71,60107,6,107,19
