#"snapnum" "zred"
125 0
124 0.022
123 0.045
122 0.069
121 0.093
120 0.117
119 0.142
118 0.168
117 0.194
116 0.221
115 0.248
114 0.276
113 0.304
112 0.334
111 0.364
110 0.394
109 0.425
108 0.457
107 0.49
106 0.523
105 0.557
104 0.592
103 0.628
102 0.664
101 0.702
100 0.74
99 0.779
98 0.819
97 0.859
96 0.901
95 0.944
94 0.987
93 1.032
92 1.077
91 1.124
90 1.172
89 1.22
88 1.27
87 1.321
86 1.372
85 1.425
84 1.48
83 1.535
82 1.593
81 1.65
80 1.71
79 1.771
78 1.833
77 1.896
76 1.961
75 2.028
74 2.095
73 2.165
72 2.235
71 2.308
70 2.382
69 2.458
68 2.535
67 2.614
66 2.695
65 2.778
64 2.862
63 2.949
62 3.037
61 3.127
60 3.221
59 3.314
58 3.411
57 3.511
56 3.61
55 3.715
54 3.819
53 3.929
52 4.038
51 4.152
50 4.266
49 4.385
48 4.507
47 4.627
46 4.754
45 4.882
44 5.017
43 5.15
42 5.289
41 5.431
40 5.575
39 5.72
38 5.873
37 6.022
36 6.184
35 6.342
34 6.508
33 6.675
32 6.849
31 7.026
30 7.203
29 7.389
28 7.576
27 7.764
26 7.961
25 8.166
24 8.372
23 8.579
22 8.794
21 9.01
20 9.235
19 9.471
18 9.707
17 9.941
16 10.186
15 10.442
14 10.696
13 10.962
12 11.225
11 11.5
10 11.771
9 12.055
8 12.351
7 12.661
6 12.966
5 13.265
4 13.599
3 13.925
2 14.244
1 14.601
0 14.949
