"row_id","_count_*_"
105,1
1,3
103,12
104,25
2,65
3,147
4,297
5,530
6,969
7,1707
8,2773
9,4243
10,6457
11,9384
12,12938
13,17306
14,22922
15,29201
16,37301
17,45787
18,54865
19,65192
20,76940
21,88058
22,100997
23,113846
24,126230
25,138982
26,151406
27,164738
28,175898
29,188190
30,199440
31,210266
32,219950
33,229812
34,238431
35,249737
36,253733
37,255405
38,257190
39,258940
40,260574
41,262241
42,263818
43,265469
44,266811
45,268222
46,269587
47,270796
48,272004
49,273255
50,274240
51,275272
52,276183
53,277139
54,277923
55,278871
56,279713
57,280521
58,281268
59,282052
60,282781
61,283489
62,284118
63,284970
64,285480
65,286061
66,286587
67,287734
68,288100
69,289055
70,289332
71,290155
72,290443
73,291100
74,291242
75,291876
76,292172
77,292518
78,292545
79,292871
80,292943
81,293103
82,293179
83,293472
84,293520
85,293705
86,293789
87,293822
88,294000
89,294205
90,294339
91,294481
92,294502
93,294798
94,294723
95,294894
96,295024
97,295325
98,295333
99,295904
100,296511
101,296164
102,295559
