#"snapnum" "z"
116 0
115 0.0301738
114 0.0460251
113 0.0809058
112 0.10205
111 0.105828
110 0.11309
109 0.116944
108 0.12448
107 0.128286
106 0.135976
105 0.139861
104 0.14771
103 0.151543
102 0.159689
101 0.163603
100 0.171921
99 0.175917
98 0.184413
97 0.188495
96 0.197175
95 0.201346
94 0.210214
93 0.214477
92 0.223541
91 0.227898
90 0.237011
89 0.246417
88 0.265182
87 0.270164
86 0.284852
85 0.294666
84 0.31527
83 0.325557
82 0.347164
81 0.358142
80 0.380643
79 0.392176
78 0.403706
77 0.415629
76 0.427959
75 0.440092
74 0.452644
73 0.465631
72 0.478634
71 0.491647
70 0.505344
69 0.519064
68 0.532802
67 0.54703
66 0.561768
65 0.576293
64 0.591343
63 0.606942
62 0.622586
61 0.63827
60 0.654807
59 0.671402
58 0.688049
57 0.705321
56 0.723247
55 0.74125
54 0.759324
53 0.77841
52 0.797591
51 0.81686
50 0.836885
49 0.886792
48 1
47 1.08333
46 1.17391
45 1.26244
44 1.35849
43 1.457
42 1.5641
41 1.66667
40 1.78552
39 1.89855
38 2.02115
37 2.14465
36 2.27869
35 2.42466
34 2.55872
33 2.71747
32 2.87597
31 3.03226
30 3.20168
29 3.38596
28 3.56621
27 3.7619
26 3.9505
25 4.15464
24 4.37634
23 4.61798
22 4.84795
21 5.09756
20 5.36943
19 5.62252
18 5.89655
17 6.19424
16 6.5188
15 6.8125
14 7.13
13 7.47
12 7.85
11 8.17
10 8.62
9 9.34
8 10.19
7 11.1
6 11.8
5 12.58
4 13.47
3 14.47
2 15.63
1 16.98
0 18.56
